,Date,EmployeeName,Plan,PolicyNumber,Premium
0,01-05-2023,John Doe,Gold Plan,AB-12345,150.0
1,02-05-2023,Jane Smith,Silver Plan,CD-67890,100.0
2,03-05-2023,Michael Brown,Bronze Plan,EF-10111,50.0
3,04-05-2023,Alice Johnson,Gold Plan,GH-12121,150.0
4,05-05-2023,Bob Wilson,Silver Plan,IJ-13131,100.0
5,06-05-2023,Carol Martinez,Bronze Plan,KL-14141,50.0
6,07-05-2023,David Anderson,Gold Plan,MN-15151,150.0
7,08-05-2023,Eva Thomas,Silver Plan,OP-16161,100.0
8,09-05-2023,Frank Jackson,Bronze Plan,QR-17171,50.0
9,10-05-2023,Grace White,Gold Plan,ST-18181,150.0
